Date,Open,High,Low,Close,Volume
2024-09-12,194.0,194.25,191.5,193.5,285871
2024-09-13,193.8999938964844,195.0500030517578,192.8999938964844,193.1499938964844,319251
2024-09-16,189.9499969482422,191.5,187.6499938964844,190.1499938964844,234171
2024-09-17,190.8000030517578,196.25,190.8000030517578,192.25,367514
2024-09-18,191.75,192.4499969482422,191.4499969482422,192.0,232821
2024-09-19,193.0500030517578,196.6499938964844,192.9499969482422,195.1000061035156,326011
2024-09-20,194.8999938964844,195.1000061035156,187.8000030517578,188.0500030517578,691779
2024-09-23,188.0500030517578,189.3999938964844,186.8999938964844,188.6000061035156,169124
2024-09-24,190.0500030517578,191.1000061035156,188.8500061035156,189.5,166017
2024-09-25,188.0,189.6499938964844,186.8500061035156,189.6499938964844,220606
2024-09-26,190.0,195.5,189.75,195.5,549934
2024-09-27,196.0,199.8999938964844,196.0,199.8999938964844,478053
2024-09-30,198.1499938964844,198.8999938964844,193.9499969482422,193.9499969482422,394591
2024-10-01,194.1499938964844,194.8000030517578,191.3500061035156,192.1499938964844,292222
2024-10-02,192.1499938964844,192.5,189.75,191.8500061035156,202680
2024-10-03,191.0,191.5500030517578,187.6499938964844,188.0,240932
2024-10-04,187.8000030517578,190.8000030517578,187.6000061035156,189.0,271893
2024-10-07,189.0,189.3000030517578,183.8500061035156,183.8500061035156,335470
2024-10-08,181.1999969482422,183.6499938964844,180.5500030517578,183.3999938964844,393998
2024-10-09,184.6000061035156,185.6999969482422,183.3000030517578,184.0500030517578,225504
2024-10-10,182.8500061035156,183.1000061035156,180.25,182.3500061035156,347877
2024-10-11,181.8000030517578,183.8999938964844,181.6499938964844,181.6999969482422,265016
2024-10-14,181.3500061035156,183.75,181.3500061035156,183.75,322963
2024-10-15,185.1999969482422,185.8500061035156,181.6999969482422,182.0500030517578,354376
2024-10-16,181.4499969482422,183.0,180.9499969482422,182.1000061035156,265335
2024-10-17,182.3000030517578,185.25,181.6499938964844,182.8500061035156,342644
2024-10-18,182.1000061035156,185.4499969482422,182.0,184.5500030517578,379491
2024-10-21,184.1999969482422,185.1999969482422,180.6999969482422,181.1000061035156,266227
2024-10-22,183.0500030517578,184.1499938964844,180.6499938964844,183.1499938964844,291537
2024-10-23,182.1999969482422,184.9499969482422,180.3500061035156,180.6999969482422,324794
2024-10-24,181.1000061035156,182.6000061035156,180.0,180.0,290629
2024-10-25,179.5,180.10000610351562,175.0500030517578,175.0500030517578,383150
2024-10-28,176.0,177.85000610351562,175.85000610351562,176.75,409135
2024-10-29,177.39999389648438,177.85000610351562,175.5500030517578,176.0500030517578,458849
2024-10-30,172.89999389648438,173.4499969482422,161.60000610351562,164.8000030517578,968539
2024-10-31,163.10000610351562,164.25,158.3000030517578,159.1999969482422,797213
2024-11-01,159.14999389648438,164.39999389648438,159.14999389648438,164.0,502631
2024-11-04,163.4499969482422,164.64999389648438,161.89999389648438,162.0,460098
2024-11-05,162.4499969482422,162.75,159.5500030517578,159.8000030517578,392149
2024-11-06,160.75,164.1999969482422,158.10000610351562,159.0,508735
2024-11-07,159.3000030517578,161.5500030517578,159.3000030517578,161.5,326259
2024-11-08,161.35000610351562,163.0500030517578,160.8000030517578,162.10000610351562,340411
2024-11-11,163.0500030517578,164.5500030517578,162.4499969482422,164.5500030517578,332633
2024-11-12,162.75,165.75,161.25,164.35000610351562,419941
2024-11-13,163.35000610351562,163.5,157.89999389648438,157.9499969482422,520292
2024-11-14,160.14999389648438,161.64999389648438,158.39999389648438,161.25,406259
2024-11-15,158.6999969482422,158.85000610351562,154.35000610351562,154.35000610351562,715340
2024-11-18,154.0,156.39999389648438,154.0,155.8000030517578,346079
2024-11-19,155.60000610351562,157.39999389648438,154.8000030517578,156.6999969482422,341697
2024-11-20,157.75,157.89999389648438,153.39999389648438,154.10000610351562,357629
2024-11-21,154.3000030517578,154.39999389648438,152.39999389648438,153.25,511259
2024-11-22,153.5,155.39999389648438,153.3000030517578,154.5500030517578,370334
2024-11-25,154.9499969482422,155.6999969482422,152.64999389648438,153.1999969482422,821835
2024-11-26,151.1999969482422,154.64999389648438,150.9499969482422,152.75,515736
2024-11-27,151.39999389648438,151.9499969482422,149.39999389648438,150.9499969482422,475484
2024-11-28,151.64999389648438,152.6999969482422,151.14999389648438,151.64999389648438,247435
2024-11-29,151.39999389648438,152.5,150.14999389648438,151.89999389648438,448895
2024-12-02,149.6999969482422,152.5,149.60000610351562,150.85000610351562,585282
2024-12-03,151.60000610351562,153.5,150.89999389648438,152.10000610351562,435371
2024-12-04,152.10000610351562,154.0,152.10000610351562,153.89999389648438,583871
2024-12-05,152.9499969482422,155.35000610351562,152.9499969482422,155.0,447111
2024-12-06,155.14999389648438,157.9499969482422,154.85000610351562,157.4499969482422,487261
2024-12-09,158.39999389648438,160.5,158.3000030517578,160.0500030517578,584078
2024-12-10,159.75,160.39999389648438,159.1999969482422,159.9499969482422,538337
2024-12-11,159.14999389648438,159.75,158.3000030517578,159.35000610351562,477627
2024-12-12,159.10000610351562,159.3000030517578,156.10000610351562,157.0,605225
2024-12-13,156.60000610351562,157.6999969482422,155.5500030517578,156.0,624709
2024-12-16,155.0,155.4499969482422,152.9499969482422,154.0500030517578,628153
2024-12-17,153.0,154.14999389648438,152.64999389648438,153.64999389648438,501291
2024-12-18,153.8000030517578,154.8000030517578,153.5500030517578,154.14999389648438,477420
2024-12-19,151.4499969482422,157.5,150.9499969482422,156.5500030517578,669703
