Date,Open,High,Low,Close,Volume
2024-09-12,154.74545288085938,154.92727661132812,153.05455017089844,154.29090881347656,515381
2024-09-13,154.56362915039062,155.6727294921875,154.07272338867188,154.74545288085938,393065
2024-09-16,154.09091186523438,155.03636169433594,153.5454559326172,154.1090850830078,403983
2024-09-17,154.63636779785156,155.41818237304688,154.4727325439453,154.6727294921875,563046
2024-09-18,154.58181762695312,154.90908813476562,152.5454559326172,152.5454559326172,421960
2024-09-19,155.0181884765625,155.50909423828125,153.25454711914062,155.50909423828125,704316
2024-09-20,155.70909118652344,155.96363830566406,152.36363220214844,152.4727325439453,1362047
2024-09-23,152.69090270996094,155.09091186523438,151.96363830566406,155.09091186523438,611055
2024-09-24,156.70909118652344,158.03636169433594,156.30909729003906,157.09091186523438,612565
2024-09-25,156.74545288085938,156.94544982910156,155.50909423828125,156.36363220214844,637619
2024-09-26,157.7818145751953,158.39999389648438,156.38182067871094,158.36363220214844,704246
2024-09-27,158.41818237304688,160.90908813476562,158.23635864257812,160.16363525390625,1083128
2024-09-30,159.4545440673828,159.654541015625,157.50909423828125,157.50909423828125,841273
2024-10-01,157.92727661132812,158.0181884765625,154.39999389648438,155.39999389648438,728343
2024-10-02,155.63636779785156,155.90908813476562,154.27272033691406,155.4545440673828,530016
2024-10-03,155.30909729003906,155.30909729003906,151.4727325439453,152.1272735595703,577001
2024-10-04,151.92727661132812,153.4727325439453,151.50909423828125,152.36363220214844,708746
2024-10-07,152.4363555908203,153.07272338867188,150.72726440429688,152.39999389648438,648928
2024-10-08,152.25454711914062,153.69090270996094,151.36363220214844,153.5454559326172,664756
2024-10-09,153.25454711914062,154.2181854248047,152.5454559326172,153.92727661132812,366151
2024-10-10,153.39999389648438,154.56362915039062,153.25454711914062,154.56362915039062,453704
2024-10-11,154.36363220214844,155.38182067871094,153.76364135742188,155.25454711914062,331336
2024-10-14,155.60000610351562,156.5454559326172,155.30909729003906,156.4545440673828,394408
2024-10-15,156.81817626953125,157.69090270996094,156.1999969482422,156.1999969482422,993298
2024-10-16,156.72726440429688,157.2181854248047,155.63636779785156,156.25454711914062,548369
2024-10-17,156.83636474609375,158.27272033691406,156.76364135742188,156.92727661132812,490002
2024-10-18,156.30909729003906,157.8909149169922,155.9818115234375,157.8909149169922,584394
2024-10-21,156.81817626953125,157.27272033691406,155.96363830566406,156.25454711914062,562953
2024-10-22,155.7818145751953,156.0,153.7818145751953,155.38182067871094,516608
2024-10-23,154.56362915039062,155.16363525390625,152.96363830566406,153.90908813476562,551567
2024-10-24,154.25454711914062,155.03636169433594,152.63636779785156,152.63636779785156,526136
2024-10-25,152.36363220214844,152.9818115234375,151.345458984375,152.2181854248047,648663
2024-10-28,153.63636779785156,155.16363525390625,152.9818115234375,154.69090270996094,592331
